entity,description,is_india
no. 2 gupta,Potential reference to individual or context-specific,0
pses,Public Sector Enterprises - general term,1
ct100,Potential reference to product or financial term - context needed,0
nri,Non-Resident Indian - Indian diaspora term,1
bsvi,Bharat Stage VI - Indian vehicular emission standard,1
jio infocomm,Indian telecommunications company (same as Jio),1
bombay burmah,Indian conglomerate,1
pradhan mantri vaya vandana yojana,Indian government pension scheme,1
nclt,National Company Law Tribunal - Indian regulatory body,1
npc,National Payments Corporation - Indian payments system organization,1
"celevida maxx",Potential reference to product or company - context-specific,0
dubai properties,Real estate in Dubai - general reference,0
"pfcs",Potential reference to financial or regulatory term - needs more information,0
ott,Over-the-top media services - technology term,0
emis,Education Management Information System or financial term - context needed,0
yes bank,Indian private sector bank,1
cod,Cash on Delivery - financial term,0
jio-facebook,Partnership between Reliance Jio and Facebook,1
icici,Indian multinational banking and financial services company,1
micr,Magnetic Ink Character Recognition - technology term,0
hdfc capital,Indian financial services company,1
standard life,Global investment company,0
krbl,Indian rice processing company,1
verizon,US telecommunications company,0
sun life,Global financial services company,0
indian oil corporation,Indian state-owned oil and gas company,1
inox benefit trust,Indian trust related to INOX - context-specific,1
"boeings",Boeing - US aerospace company,0
lloyd,Potential reference to various contexts - needs more information,0
omni,General term or context-specific reference - needs more information,0
4g,Fourth-generation wireless technology,0
everest instruments,Potential reference to company - context-specific,0
ncgtc,Potential reference to financial or regulatory body - needs more information,0
welspun india ltd,Indian multinational company specializing in textiles,1
ice,International Center for Emergency Management or general term - context needed,0
the nifty midcap,Indian stock market index for mid-cap companies,1
f&o,Futures and Options - financial term,0
icici bank ltd,Indian multinational banking and financial services company (same as ICICI),1
atma nirbhar bharat,Duplicate entry of Aatmanirbhar Bharat,1
atr,Average True Range - financial term,0
mastercard,Global financial services company,0
india family mart,Potential reference to retail chain in India - context-specific,1
"asias",Potential reference to Asia - needs more information,0
infrastructure leasing,Reference to infrastructure investment or leasing - context-specific,0
psus,Public Sector Undertakings - Indian government-owned corporations,1
videocon,Indian multinational conglomerate,1
indian ip,Indian intellectual property - general term,1
youperience ltd,Potential reference to company - context-specific,0
zeta,Financial technology company - Indian context,1
supreme court,Highest judicial forum in India,1
"americas",General reference to the Americas - needs more information,0
boj,Potential reference to various contexts - needs more information,0
mki,Potential reference to various contexts - needs more information,0
xiaomi,Duplicate entry of Xiaomi,0
dixon technologies,Indian electronics manufacturing company,1
amber,Potential reference to various contexts - needs more information,0
abmtp,Potential reference to specific entity - context needed,0
carnot technologies,Indian technology company specializing in various tech solutions,1
lg,South Korean electronics company,0
the singapore exchange,Stock exchange in Singapore,0
tesla,US electric vehicle and clean energy company,0
yap,Potential reference to company or technology - context needed,0
bnp,BNP Paribas - global banking and financial services company,0
fieo,Federation of Indian Export Organisations,1
bata india,Indian footwear company,1
fang,Reference to major US tech stocks - context needed,0
hero cycles,Indian bicycle manufacturer,1
gm,General Motors - US automotive company,0
etf,Exchange-Traded Fund - financial term,0
icici general insurance,Indian insurance company,1
templar investments,Investment firm - context-specific,0
"microsofts",Reference to Microsoft - US tech company,0
moneycontol,Indian financial news and information website,1
advisory council,General term or context-specific reference - needs more information,0
oracle financial services software,Indian subsidiary of Oracle specializing in financial software,1
sidbi,Small Industries Development Bank of India,1
communist party of india,Indian political party,1
ordnance factory boards,Indian government agency for arms and ammunition,1
sony pictures networks india,Indian media company,1
fieo,Duplicate entry of Federation of Indian Export Organisations,1
cm,General term or context-specific reference - needs more information,0
chalet hotels,Indian hospitality company,1
xic,Potential reference to specific entity or term - context needed,0
bs vi,Bharat Stage VI - Indian vehicular emission standard,1
new energy nexus,Global organization supporting clean energy startups,0
goldman,Goldman Sachs - global financial services company,0
post office fds,Fixed deposits offered by Indian Post Offices,1
ric,Potential reference to financial or regulatory term - context needed,0
brent crude,Global oil benchmark,0
"duke universitys corporate education program",Educational program by Duke University - US,0
the indian navy,Indian naval forces,1
bankex,Potential reference to banking index - context needed,0
trump,Reference to Donald Trump - US political figure,0
mudra,Indian financial scheme for small businesses,1
credai,Confederation of Real Estate Developers' Associations of India,1
elss,Equity-Linked Savings Scheme - Indian financial product,1
ofb,Ordnance Factory Board - Indian government agency for arms and ammunition,1
spotify,Global music streaming service,0
nsso,National Sample Survey Office - Indian statistical organization,1
"go to market",Business strategy term - context-specific,0
goldman saks,Potential misspelling of Goldman Sachs,0
zew,Center for European Economic Research - German economic institute,0
abbott india,Indian subsidiary of Abbott Laboratories,1
cbi,Central Bureau of Investigation - Indian law enforcement agency,1
alg,Potential reference to company or technology - context needed,0
"apples app store",Apple’s digital marketplace - global,0
"uber eats",Uber’s food delivery service - global,0
irctc,Indian Railway Catering and Tourism Corporation,1
covid,General reference to coronavirus pandemic,0
next finance commission,Indian governmental body for financial planning,1
wynn resorts,Global hotel and casino company,0
burger king india,Indian franchise of Burger King,1
rrr,Reference to Indian film "RRR" or other contexts - needs more information,1
lehman,Lehman Brothers - former global financial services firm,0
budget,General term or context-specific reference - needs more information,0
"mcdonalds india franchise for south and west",McDonald's Indian franchise operations,1
disney,Global entertainment company,0
jamia millia islamia university,Indian public university,1
antony waste handling cell,Indian waste management company,1
ltcg,Long-Term Capital Gains - financial term,0
taj gvk,Indian hotel group,1
thyrocare technologies,Indian diagnostic laboratory services,1
fit,General term or context-specific reference - needs more information,0
the indian school of business,Indian business school,1
petroleum,General term or context-specific reference - needs more information,0
pat,Profit After Tax - financial term,0
wuhan institute of virology,Chinese research institute,0
reserve bank of india,Central bank of India,1
cdsl ventures,Indian subsidiary of Central Depository Services Limited,1
"googles",Reference to Google - US tech company,0
frontier markets,Emerging or developing markets - general term,0
railways,Indian Railways - national railway system,1
reit,Real Estate Investment Trust - financial term,0
sez,Special Economic Zone - Indian economic zone,1
cipla md,Managing Director of Cipla - Indian pharmaceutical company,1
unison,General term or context-specific reference - needs more information,0
burger india,General reference to burger industry in India - context needed,1
sony ten 3,Indian sports television channel by Sony,1
chetak,Indian motorcycle and scooter brand,1
"thomas cooks",Reference to Thomas Cook - global travel company,0
orient green power,Indian renewable energy company,1
gromo,Potential reference to company or product - context needed,0
hmds,Potential reference to company or technology - context needed,0
associated chambers of commerce & industry of india,Indian industry body,1
ltcm,Long-Term Capital Management - financial term,0
sdgs,Sustainable Development Goals - global goals,0
indian hotels,Indian hospitality group,1
"gmr hyderabad international airports",Indian airport operator,1
"federal reserves",US central banking system - Federal Reserve,0
japan’s nikkei,Nikkei index - Japanese stock market index,0
venky hi-tech ispat ltd,Indian steel manufacturer,1
bajaj finserv,Indian financial services company,1
casa,Current and Savings Account - financial term,0
dmus,Potential reference to various 
iifl capital,Indian financial services company,1
treasury,General term for financial management - context-specific,0
abb,Global engineering company,0
ebr,Potential reference to specific term - context needed,0
hcl tech,Indian IT services and consulting company,1
imgc,Potential reference to specific entity - context needed,0
uti amc,UTI Asset Management Company - Indian mutual fund company,1
"trss",Potential reference to specific term or entity - context needed,0
infosys,Indian multinational corporation providing IT services,1
geojit financial services,Indian financial services company,1
the virgin group,Global multinational conglomerate,0
q3,Financial term for the third quarter,0
walt disney company,Global entertainment and media company,0
hdfc mf,HDFC Mutual Fund - Indian asset management company,1
mahindra,Indian multinational conglomerate,1
p/e,Price-to-Earnings ratio - financial term,0
stranger & sons,Indian beverage brand,1
mahindra’s,Reference to Mahindra Group - Indian multinational conglomerate,1
boi-axa investment managers,Indian asset management company,1
icici prudential amc,Indian asset management company,1
"indias",General term or context-specific reference - needs more information,1
dollar,General term for US currency - global context,0
max financial services,Indian financial services company,1
go first’s,Reference to Go First airline - Indian,1
"samsungs",Reference to Samsung - global electronics company,0
h&m,Global fashion retailer,0
chogm,Commonwealth Heads of Government Meeting - global,0
bto,Potential reference to specific term - context needed,0
nalco,National Aluminium Company Limited - Indian company,1
bpo/ites,Business Process Outsourcing / IT Enabled Services,0
"latin americas",General term for Latin American region - global,0
lakme,Indian cosmetics and beauty brand,1
the sri lanka railways,National railway system in Sri Lanka,0
vivad se vishwas,Indian government scheme for tax dispute resolution,1
complan,Indian nutritional drink brand,1
the bloomberg billionaire index,Global index tracking billionaire wealth,0
the nifty midcap,Indian stock market index for midcap stocks,1
outlook nifty nifty,Reference to Indian stock indices - needs more context,1
icici bank,Indian multinational banking and financial services company,1
fbi,Federal Bureau of Investigation - US,0
nexa,Indian automotive brand by Maruti Suzuki,1
icici bank,Duplicate entry of Indian multinational banking and financial services company,1
iit kanpur,Indian Institute of Technology Kanpur,1
the national payments corporation of india,Indian organization for payment systems,1
trustee of nomura india,Reference to trustee role in Nomura India - financial context,1
federal reserve’s,US central banking system - Federal Reserve,0
the symbiosis international university,Indian private university,1
ftse,Financial Times Stock Exchange Index - global,0
bharat electronics,Indian electronics company,1
premium economy,Class of airline seating - global context,0
usda,United States Department of Agriculture,0
reliance industries,Indian multinational conglomerate,1
eua,Emergency Use Authorization - regulatory term,0
godrej natures basket,Indian grocery retail chain,1
lambretta,Italian scooter brand,0
utcem,Potential reference to specific term - context needed,0
pdvsa,Venezuelan state-owned oil company,0
aurobindo pharma,Indian pharmaceutical company,1
atlassian,Global software company,0
e-nam,Electronic National Agriculture Market - Indian platform,1
csir-nio,CSIR-National Institute of Oceanography - Indian research institute,1
carnival corp,Global cruise line company,0
hdfc ltd,HDFC Limited - Indian financial services company,1
inmobi,Indian mobile advertising and discovery platform,1
mitron,Indian social media app,1
the galaxy s20 fe,Smartphone model by Samsung - global,0
ford endeavour,Automobile model by Ford - global,0
sun pharmaceutical industries,Indian multinational pharmaceutical company,1
fintech,Financial technology - general term,0
ltcg,Long-Term Capital Gains - financial term,0
herin visaria,Potential reference to specific individual or entity - needs more context,0
the bombay high court,Indian high court located in Mumbai,1
sony ten 2,Indian sports television channel by Sony,1
"moodys",Reference to Moody’s - global credit rating agency,0
icici prudential asset management,Indian asset management company,1
moderna,US biotechnology company,0
il&fs group,Indian financial services company,1
jpy,Japanese Yen - currency term,0
cbi,Duplicate entry of Central Bureau of Investigation - Indian law enforcement agency,1
the future group,Indian conglomerate,1
the paris club,International group of creditor nations,0
bandhan bank,Indian private sector bank,1
marketweight,Potential reference to financial term or context - needs more information,0
mou,Memorandum of Understanding - general term,0
anges inc,Potential reference to specific entity - needs more information,0
modi 2.0,Reference to second term of Indian Prime Minister Narendra Modi,1
unacademy,Indian online education platform,1
ifas,Potential reference to financial term or context - needs more information,0
micromax,Indian smartphone manufacturer,1
crr,Cash Reserve Ratio - financial term,0
"regulatory authority",General term - context-specific,0
vodafone idea,Indian telecommunications company,1
tbs,Potential reference to specific entity - needs more information,0
ihs markit india,Indian division of IHS Markit - global information provider,1
renaissance jewellery,Indian jewelry brand,1
cisco,Global networking hardware and telecommunications company,0
mou,Duplicate entry of Memorandum of Understanding - general term,0
niif,National Investment and Infrastructure Fund - Indian investment fund,1
arcelormittal,Global steel manufacturing company,0
bis,Bureau of Indian Standards - Indian standards organization,1
razorpay,Indian fintech company,1
esc,Potential reference to specific entity - needs more information,0
opt,Potential reference to specific term or context - needs more information,0
mm forgings,Indian forging company,1
the indian institute of technology,Indian network of technology institutes,1
"va tech wabags",Indian engineering company,1
american depository receipt,Financial term for US securities held by foreign investors,0
nasa,National Aeronautics and Space Administration - US,0
dsp merrill lynch,Indian subsidiary of DSP Merrill Lynch - global financial services,1
luckin,Chinese coffee company,0
sat,Scholastic Assessment Test - global education test,0
obv,On-Balance Volume - financial term,0
erc,Potential reference to specific entity - needs more information,0
atta and oats noodles,Indian food product,1
asi,Potential reference to specific entity or term - needs more information,0
"sodexos",Reference to Sodexo - global food services company,0
kotak mahindra capital company,Indian financial services company,1
eepc,Engineering Export Promotion Council - Indian trade organization,1
gsi,Potential reference to specific entity - needs more information,0
cprl,Potential reference to specific entity - needs more information,0
gms,Potential reference to specific term - needs more information,0
acre,General term for a unit of area - context-specific,0
slr,Statutory Liquidity Ratio - financial term,0
maus,Potential reference to specific term - context needed,0
marutis,Reference to Maruti Suzuki - Indian automobile manufacturer,1
npas,Non-Performing Assets - financial term,0
ovl,ONGC Videsh Limited - Indian oil exploration company,1
"the mission nirmal bangla",Indian sanitation initiative,1
aditya birla,Indian multinational conglomerate,1
fabiflu,Indian pharmaceutical product,1
qib,Potential reference to specific term - context needed,0
cii,Confederation of Indian Industry,1
ernst & young,Global professional services firm,0
us treasury,US Department of the Treasury,0
suzuki jimny,Automobile model by Suzuki - global,0
gskch,Potential reference to specific term - context needed,0
apple carplay,In-car multimedia interface by Apple - global,0
caa,Citizenship Amendment Act - Indian legislation,1
suisse,Swiss - context-specific,0
csb bank,Indian bank,1
eu,European Union - global,0
the high court,General term for superior court - context-specific,0
nokia,Global telecommunications and consumer electronics company,0
"sbis",Potential reference to specific term - context needed,0
myloancare,Indian financial services platform,1
gland pharma,Indian pharmaceutical company,1
hnis,Potential reference to specific term - context needed,0
hdfc,Indian financial services company,1
daiko fho,Potential reference to specific term - context needed,0
lite hotels,Hotel brand - context-specific,0
unilever,Global consumer goods company,0
ena,Potential reference to specific term - context needed,0
mcx gold,Multi Commodity Exchange Gold - Indian commodity exchange,1
bectors food specialities,Indian food products company,1
cpses,Central Public Sector Enterprises - Indian enterprises,1
basel iii,International banking regulations - global,0
sgx,Singapore Exchange,0
levi’s,Global clothing brand,0
niti ayog,Indian policy think tank,1
casa,Current Account Savings Account - banking term,0
india r&d,Indian research and development,1
wework rajapushpa summit,WeWork location in India,1
pubg,Global online multiplayer game,0
s&p global,Global financial services company,0
demu,Diesel Electric Multiple Unit - Indian train service,1
uti,"Unit Trust of India" - Indian mutual fund organization,1
"fomcs",Potential reference to specific term - context needed,0
psu,Public Sector Undertaking - Indian term,1
nirf,National Institutional Ranking Framework - Indian ranking system,1
rpp infra projects,Indian infrastructure development company,1
"wtos",Potential reference to specific term - context needed,0
hdi,Human Development Index - global measure,0
real active,Potential reference to specific term - context needed,0
india inc,General term for Indian corporations,1
rupay,Indian payment system,1
nssf,National Social Security Fund - Indian fund,1
purchasing managers index,Economic indicator - global,0
gilead sciences inc,US biopharmaceutical company,0
"lndianoils gujarat refinery",Indian oil refinery,1
msmes,Micro Small and Medium Enterprises - Indian sector,1
nifty realty and banks,Indian stock indices for realty and banks,1
baa3,Moody’s credit rating,0
boj,Potential reference to specific term - context needed,0
voltas,Indian air conditioning and engineering company,1
al-qaida,Terrorist organization - global,0
sify technologies,Indian IT services company,1
scs,Potential reference to specific term - context needed,0
the insurance regulatory and development authority of india,Indian insurance regulatory body,1
egm,Extraordinary General Meeting - corporate term,0
puri’s,Reference to specific term or entity - context needed,0
nesta,Potential reference to specific term - context needed,0
pfutp,Potential reference to specific term - context needed,0
jsw steel,Indian steel manufacturing company,1
rbl bank,Indian private sector bank,1
"united breweries q4fy20",Reference to financial results of United Breweries - Indian,1
"exims",Potential reference to specific term - context needed,0
bpl,Potential reference to specific term - context needed,0
credit suisse,Global financial services company,0
ritz-carlton,Global luxury hotel chain,0
cms,Potential reference to specific term - context needed,0
cc/ od,Potential reference to specific term - context needed,0
ordnance factory board,Indian defense manufacturing organization,1
dcms,Potential reference to specific term - context needed,0
g20,Group of Twenty - international economic forum,0
marashtra,Potential misspelling of Maharashtra - Indian state,1
mithril capital,Potential reference to specific entity - context needed,0
sbi funds management,Indian asset management company,1
fy2020,Financial Year 2020 - global term,0
fortis,Indian healthcare company,1
hfcs,Potential reference to specific term - context needed,0
national investment and infrastructure fund,Indian investment fund,1
diis,Potential reference to specific term - context needed,0
opec,Organization of the Petroleum Exporting Countries - global,0
tata consultancy services ltd,Indian IT services and consulting company,1
housing finance,General term for financial services related to housing,0
banking and realty,General term for banking and real estate sectors,0
coromandel international,Indian agribusiness company,1
soe,State-Owned Enterprises - general term,0
mahindra financial services india limited,Indian financial services company,1
bank of maharashtra,Indian public sector bank,1
reliance industries ltd,Indian multinational conglomerate,1
stockal,Indian investment platform,1
fitch solutions,Global credit rating and financial services company,0
pat,Profit After Tax - financial term,0
century,Potential reference to specific term - context needed,0
nifty midcap 100 index,Indian stock market index for midcap stocks,1
the union railway,Potential reference to specific entity or term - context needed,0
seci,Solar Energy Corporation of India,1
fifa,International Federation of Association Football - global,0
avendus capital,Indian financial services firm,1
g-7,Group of Seven - international economic forum,0
indian banks association,Indian banking industry association,1
mutual fund sahi hai’,Indian mutual fund campaign,1
the government of jharkhand,Indian state government,1
msmes,Duplicate entry of Micro- small- and Medium Enterprises - Indian sector,1
slp,Special Leave Petition - Indian legal term,1
uber eats,Global food delivery service,0
faradion,UK-based battery technology company,0
anup engineering,Indian engineering company,1
bse & nse,Indian stock exchanges - Bombay Stock Exchange and National Stock Exchange,1
national security guard,Indian counter-terrorism unit,1
ba1,Moody’s credit rating,0
marico,Indian consumer goods company,1
ac,Air Conditioning - general term,0
the us food and drug administration,US regulatory agency,0
iiml,Indian Institute of Management Lucknow,1
apat,Potential reference to specific term - context needed,0
cil,Coal India Limited - Indian state-owned coal mining company,1
the us-india strategic and partnership forum,US-India bilateral relations forum,0
punjab & sind bank,Indian public sector bank,1
mmtc,MMTC Limited - Indian trading company,1
national sc/st,Indian government classification for scheduled castes and tribes,1
exxon,Global oil and gas company,0
spjimr,Saint Paul Institute of Management and Research - Indian business school,1
the securities and exchange board of india,Indian financial regulatory body,1
nifty auto,Indian stock index for automotive sector,1
chromebook shop,Retail store for Chromebook - context-specific,0
vbl,Potential reference to specific term - context needed,0
finance,General term for financial activities - global,0
bgs,Potential reference to specific term - context needed,0
maruti suzuki india ltd.,Indian automobile manufacturer,1
the national film archive of india,Indian film preservation organization,1
tesla,Global electric vehicle and clean energy company,0
chemcon speciality chemicals,Indian chemical manufacturing company,1
github,Global software development platform,0
microsoft corp,Global technology company,0
lonza,Global life sciences company,0
bharatpe,Indian fintech company,1
cio,Chief Information Officer - general term,0
"moodys",Reference to Moody’s - global credit rating agency,0
iip,Index of Industrial Production - Indian economic indicator,1
bame,Potential reference to specific term - context needed,0
tata technologies,Indian IT services and consulting company,1
icici pru,ICICI Prudential - Indian financial services company,1
gennext,Potential reference to specific term - context needed,0
epsilon bidco,Potential reference to specific entity - context needed,0
dmart,Indian retail chain,1
msci,Global index provider,0
etihad,Global airline based in UAE,0
fm,Financial Manager - context-specific,0
merger,General term for combining companies - global,0
the dubai mercantile exchange,Global commodity exchange based in Dubai,0
essar steel,Indian steel manufacturing company,1
"aarogya sandesh",Indian health awareness initiative,1
oecd,Organisation for Economic Co-operation and Development - global,0
cimsme,Potential reference to specific term - context needed,0
indiabulls housing finance,Indian housing finance company,1
g-sec etf,Government Securities Exchange-Traded Fund - Indian investment product,1
ipl,Indian Premier League - cricket tournament,1
gail,Gas Authority of India Limited - Indian natural gas company,1
ftas,Free Trade Agreements - global,0
alphabet inc.,Global technology company,0
rossari biotech,Indian biotechnology company,1
cait,Confederation of All India Traders - Indian trade organization,1
icai,Institute of Chartered Accountants of India,1
farmers fasal bima yojana,Indian crop insurance scheme,1
astra microwave,Indian electronics and defense company,1
camlin fine sciences,Indian chemical manufacturing company,1
dgft,Directorate General of Foreign Trade - Indian regulatory body,1
pti,Press Trust of India - Indian news agency,1
isa,International Solar Alliance - global organization,0
nbfc dewan housing finance corp,Indian non-banking financial company,1
zoho commerce,Indian software company,1
bajaj healthcare,Indian pharmaceutical company,1
make in india,Indian government initiative to promote manufacturing,1
kalaari capital,Indian venture capital firm,1
basel ii,International banking regulations,0
lava,Indian mobile phone manufacturer,1
avadh sugar,Indian sugar manufacturing company,1
acs,Potential reference to specific term - context needed,0
mahindra xuv500,Indian automobile model by Mahindra,1
abu dhabi’s,Reference to Abu Dhabi - UAE,0
iswp,Potential reference to specific term - context needed,0
deliveroo,Global food delivery service,0
bnp paribas,Global financial services company,0
aditya birla group,Indian multinational conglomerate,1
hertz,Global car rental company,0
tata harrier,Indian automobile model by Tata,1
demu,Diesel Electric Multiple Unit - Indian train service,1
"hong kongs legislative council",Legislative body of Hong Kong,0
nifty media,Indian stock index for media sector,1
airbnb,Global accommodation service,0
dhanvruddhi,Potential reference to specific term - context needed,0
samco securities & stocknote,Indian financial services firms,1
bandhan bank,Indian private sector bank,1
norton,Global cybersecurity company,0
sast,Potential reference to specific term - context needed,0
expression of interest,General term for soliciting interest in business,0
wrp,Potential reference to specific term - context needed,0
the state bank of india,Indian public sector bank,1
godrej consumer products,Indian consumer goods company,1
avengers,Global superhero film series,0
nifty fmcg,Indian stock index for FMCG sector,1
dyson india,Indian branch of the global technology company Dyson,1
"icras",Potential reference to specific term - context needed,0
mintplainfacts,Potential reference to specific term - context needed,0
adani power,Indian power generation company,1
hello world,General term for programming or introductory phrase,0
goqii,Indian fitness technology company,1
the tvs iqube,Indian electric scooter model by TVS,1
the conference board,Global business membership and research organization,0
csi300,Chinese stock market index,0
the u.s. senate,US legislative body,0
reliance met,Potential reference to specific term - context needed,0
india’s fmcg,General term for Indian Fast-Moving Consumer Goods sector,1
trent,Indian retail company,1
hindustan petroleum’s,Reference to Hindustan Petroleum - Indian oil company,1
balaji telefilms,Indian media and entertainment company,1
federal reserve,US central banking system,0
swadeshi jagran manch,Indian nationalist organization,1
hiranandani group,Indian real estate and infrastructure company,1
kotak,Reference to Kotak Mahindra Group - Indian financial services,1
pmses,Potential reference to specific term - context needed,0
birla corporation coo,Reference to Chief Operating Officer of Birla Corporation - Indian company,1
the we company,Reference to WeWork - global co-working space provider,0
mtnl,MTNL (Mahanagar Telephone Nigam Limited) - Indian telecommunications company,1
nippon india mutual fund,Indian mutual fund company,1
nippon india mf,Duplicate entry of Nippon India Mutual Fund,1
acma,Automotive Component Manufacturers Association of India,1
food and drug administration,US regulatory agency,0
the nifty pharma index,Indian stock index for pharmaceutical sector,1
icici prudential life insurance,Indian life insurance company,1
pmay,Pradhan Mantri Awas Yojana - Indian housing scheme,1
uti mnc,Indian mutual fund company,1
thomson reuters,Global media and financial services company,0
bse s&p sensex,Indian stock market index,1
pune’s,Reference to the city of Pune - Indian city,1
micromax,Indian mobile phone manufacturer,1
gbx,Potential reference to specific term - context needed,0
esi,Employee State Insurance - Indian insurance scheme,1
cnbctv18,Indian business news channel,1
iccr,Indian Council for Cultural Relations,1
cii\s "future business group",Confederation of Indian Industry's business group,1
fully accessible route,General term for accessible infrastructure,0
aarogya setu,Indian health tracking app,1
banks,General term for financial institutions,0
srei infrastructure finance,Indian infrastructure financing company,1
mfes,Potential reference to specific term - context needed,0
rtp global,Global investment firm,0
ujjivan small finance bank,Indian small finance bank,1
nsso,National Sample Survey Office - Indian statistical organization,1
mtp,Potential reference to specific term - context needed,0
flipkart,Indian e-commerce company,1
mvl,Potential reference to specific term - context needed,0
the mumbai customs,Indian customs authority in Mumbai,1
astron paper & board mill ltd.,Indian paper and board manufacturing company,1
pm’s,Reference to Prime Minister - context-specific,0
fms,Potential reference to specific term - context needed,0
motilal oswal institutional equities,Indian financial services firm,1
fy11,Financial Year 2011 - general term,0
mandi,General term for market - context-specific,0
ifsc,Indian Financial System Code - Indian banking code,1
jawaharlal nehru port trust,Indian major port trust,1
bloomberg economics,Global economic research and data provider,0
the indian rupee,Indian currency,1
bajaj finance,Indian financial services company,1
national aluminium company,Indian aluminum manufacturing company,1
berkshire hathaway’s,Global conglomerate - US,0
the bank of japan,Japanese central bank,0
securities and exchanges board of india,Indian financial regulatory body,1
cgpl,Potential reference to specific term - context needed,0
rural agri markets,General term for agricultural markets in rural areas,0
manrega,Potential reference to specific term - context needed,0
b2b,Business-to-Business - general term,0
teamlease,Indian human resource and staffing company,1
the s&p sensex,Indian stock market index,1
godrej appliances ltd,Indian home appliances manufacturer,1
icici home finance,Indian home finance company,1
utv,Indian media and entertainment company,1
sidbi,Small Industries Development Bank of India,1
cibil,Credit Information Bureau (India) Limited,1
husqvarna,Global manufacturer of outdoor products,0
ircon international,Indian infrastructure and construction company,1
dpd,Potential reference to specific term - context needed,0
mudra institute of communications,Indian communications and management institute,1
consumer staples,General term for essential goods,0
macd,Moving Average Convergence Divergence - financial indicator,0
epfo,Employees' Provident Fund Organisation - Indian retirement fund,1
an aatmanirbhar bharat,Reference to self-reliant India initiative,1
hsbc short duration fund,Global financial fund,0
iifl,Indian financial services company,1
axis,Reference to Axis Bank - Indian financial services,1
ultratech cements,Indian cement manufacturing company,1
kirana,General term for small retail stores in India,1
lpi,Potential reference to specific term - context needed,0
turmeric and jeera,Common spices - general term,0
cboe,Chicago Board Options Exchange - global,0
"porinju veliyaths",Indian investor,1
faang,"Global acronym for tech companies (Facebook- Apple- Amazon, Netflix- Google",0
novartis,Global pharmaceutical company,0
fdi,Foreign Direct Investment - global term,0
fortune 500,Global list of top 500 companies,0
fmp,Fixed Maturity Plan - financial term,0
usp,Unique Selling Proposition - general term,0
the play store,Google's app marketplace - global,0
bajaj-auto,Indian automobile manufacturer,1
hitachi,Global technology and electronics company,0
amai,Potential reference to specific term - context needed,0
the srikrishna committee’s,Reference to a committee on data protection in India,1
udaan,Indian government scheme to promote entrepreneurship,1
agel,Indian renewable energy company,1
muhurat,Reference to auspicious timing in Indian culture,1
gva,Potential reference to specific term - context needed,0
rpa,Robotic Process Automation - general term,0
"niifs",Potential reference to specific term - context needed,0
nikkei india services business activity index,Index measuring Indian services sector activity,1
fomc,Federal Open Market Committee - US,0
bbb,General term for credit rating - context-specific,0
india fund of funds,Indian investment fund,1
rathi group,Indian conglomerate,1
"indian banks association",Indian banking industry association,1
basel 3,International banking regulations,0
bs-iv,Bharat Stage IV emission norms - India,1
religare broking ltd,Indian financial services firm,1
carlyle,Global investment firm,0
sangh,Reference to RSS (Rashtriya Swayamsevak Sangh) - Indian organization,1
hon hai precision industry co.,Global electronics manufacturer - Taiwan,0
air france,Global airline,0
aqf advisors,Potential reference to specific term - context needed,0
the s-presso,Potential reference to specific term - context needed,0
ghcl,Indian chemical company,1
rashtriya kisan manch,Indian farmers' organization,1
rama phosphates,Indian fertilizer company,1
epf’s,Employee Provident Fund - Indian retirement fund,1
trusteeship,General term for managing assets,0
et,Financial news and information platform,0
mas,Potential reference to specific term - context needed,0
sc/st/pwbd,Indian social categories - Scheduled Castes- scheduled Tribes Persons with Disabilities,1
aye finance,Indian financial services company,1
flair writing industries,Indian writing instrument manufacturer,1
union bank of india,Indian public sector bank,1
ags transact technologies,Indian fintech company,1
mubadala,Global investment firm - UAE,0
icar-central institute for subtropical horticulture,Indian research institution,1
ifscs,Potential reference to specific term - context needed,0
moneycontrol.com,Indian financial news and information platform,1
atf,Potential reference to specific term - context needed,0
cpi-rl,Potential reference to specific term - context needed,0
anarock capital,Indian real estate advisory firm,1
niit,Indian IT training and education company,1
cement,General term for building material,0
qq mail,Global email service,0
psb,Potential reference to specific term - context needed,0
sgx nifty,Indian stock index futures on Singapore Exchange,1
financial services ltd,General term - context-specific,0
spdr gold trust,Global gold investment fund,0
demat,Dematerialized securities - general term,0
equirus securities long horizon fund,Indian investment fund,1
indian energy exchange,Indian electricity trading platform,1
englishhelpertm,Potential reference to specific term - context needed,0
non-npa,General term for non-performing asset-related issues,0
"indias",Potential reference to specific term - context needed,1
telecom,General term for telecommunications,0
fii,Foreign Institutional Investor - global term,0
securities and exchange board of india,Indian financial regulatory body,1
niftybank,Indian stock index for banking sector,1
dow,Reference to Dow Jones indices - global,0
voot,Indian video streaming platform,1
q4fy18,Financial year 2018 - context-specific,0
ecb,European Central Bank - global,0
"bjps-jaitleys new india",Reference to BJP's initiatives - Indian political context,1
the indian medical association,Indian medical professional association,1
mahindra cie,Indian auto component manufacturer,1
"niti aayogs apex",Reference to NITI Aayog's apex committee - Indian government body,1
saas,Software as a Service - global term,0
libor,Global benchmark interest rate,0
jm financial,Indian financial services firm,1
dot,General term - context-specific,0
edhec business school of france,French business school,0
franklin,Reference to Franklin Templeton - global asset management,0
mx player,Indian video streaming platform,1
gsp,Potential reference to specific term - context needed,0
